TASK_ID,ONET_SOC_CODE,MAJOR_GROUP,OCCUPATION_TITLE,TASK_TYPE,IMPORTANCE_RAW,TASK_STATEMENT,OCCUPATION_DESCRIPTION,ai_exposure_annot1,automation_annot1,augmentation_annot1
21063,25-2057.00,25,"Special Education Teachers, Middle School",Core,4.54,Develop or write Individualized Education Programs (IEPs) for students.,"Teach academic, social, and life skills to middle school students with learning, emotional, or physical disabilities. Includes teachers who specialize and work with students who are blind or have visual impairments; students who are deaf or have hearing impairments; and students with intellectual disabilities.",0.8,0.6,0.85
1098,11-9051.00,11,Food Service Managers,Supplemental,4.62,"Greet guests, escort them to their seats, and present them with menus and wine lists.","Plan, direct, or coordinate activities of an organization or department that serves food and beverages.",0.45,0.25,0.55
15695,11-3071.04,11,Supply Chain Managers,Core,4.1,"Define performance metrics for measurement, comparison, or evaluation of supply chain factors, such as product cost or quality.","Direct or coordinate production, purchasing, warehousing, distribution, or financial forecasting services or activities to limit costs and improve accuracy, customer service, or safety. Examine existing procedures or opportunities for streamlining activities to meet product distribution needs. Direct the movement, storage, or processing of inventory.",0.45,0.2,0.6
2462,41-9022.00,41,Real Estate Sales Agents,Core,4.25,Contact property owners and advertise services to solicit property sales listings.,"Rent, buy, or sell property for clients. Perform duties such as study property listings, interview prospective clients, accompany clients to property site, discuss conditions of sale, and draw up real estate contracts. Includes agents who represent buyer.",0.45,0.25,0.55
22420,25-4022.00,25,Librarians and Media Collections Specialists,Core,3.79,Locate unusual or unique information in response to specific requests.,"Administer and maintain libraries or collections of information, for public or private access through reference or borrowing. Work in a variety of settings, such as educational institutions, museums, and corporations, and with various types of informational materials, such as books, periodicals, recordings, films, and databases. Tasks may include acquiring, cataloging, and circulating library materials, and user services such as locating and organizing information, providing instruction on how to access information, and setting up and operating a library's media equipment.",0.8,0.6,0.8
14923,47-2142.00,47,Paperhangers,Supplemental,3.77,"Staple or tack advertising posters onto fences, walls, billboards, or poles.","Cover interior walls or ceilings of rooms with decorative wallpaper or fabric, or attach advertising posters on surfaces such as walls and billboards. May remove old materials or prepare surfaces to be papered.",0.45,0.25,0.55
18321,29-1141.01,29,Acute Care Nurses,Core,4.14,"Read current literature, talk with colleagues, and participate in professional organizations or conferences to keep abreast of developments in acute care.","Provide advanced nursing care for patients with acute conditions such as heart attacks, respiratory distress syndrome, or shock. May care for pre- and post-operative patients or perform advanced, invasive diagnostic or therapeutic procedures.",0.4,0.15,0.6
9689,41-9031.00,41,Sales Engineers,Core,4.12,"Visit prospective buyers at commercial, industrial, or other establishments to show samples or catalogs, and to inform them about product pricing, availability, and advantages.","Sell business goods or services, the selling of which requires a technical background equivalent to a baccalaureate degree in engineering.",0.45,0.25,0.55
23393,45-2092.00,45,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",Supplemental,3.27,Inspect plants and bud ties to assess quality.,"Manually plant, cultivate, and harvest vegetables, fruits, nuts, horticultural specialties, and field crops. Use hand tools, such as shovels, trowels, hoes, tampers, pruning hooks, shears, and knives. Duties may include tilling soil and applying fertilizers; transplanting, weeding, thinning, or pruning crops; applying pesticides; or cleaning, grading, sorting, packing, and loading harvested products. May construct trellises, repair fences and farm buildings, or participate in irrigation activities.",0.45,0.25,0.55
17357,29-1291.00,29,Acupuncturists,Core,4.97,"Maintain and follow standard quality, safety, environmental, and infection control policies and procedures.","Diagnose, treat, and prevent disorders by stimulating specific acupuncture points within the body using acupuncture needles. May also use cups, nutritional supplements, therapeutic massage, acupressure, and other alternative health therapies.",0.2,0,0.25
2554,43-3071.00,43,Tellers,Core,4.7,"Count currency, coins, and checks received, by hand or using currency-counting machine, to prepare them for deposit or shipment to branch banks or the Federal Reserve Bank.",Receive and pay out money. Keep records of money and negotiable instruments involved in a financial institution's various transactions.,0.5,0.2,0.6
21292,11-3013.01,11,Security Managers,Core,3.74,"Develop or manage investigation programs, including collection and preservation of video and notes of surveillance processes or investigative interviews.","Direct an organization's security functions, including physical security and safety of employees and facilities.",0.4,0.05,0.65
23923,29-2051.00,29,Dietetic Technicians,Core,4.09,Attend interdisciplinary meetings with other health care professionals to discuss patient care.,"Assist in the provision of food service and nutritional programs, under the supervision of a dietitian. May plan and produce meals based on established guidelines, teach principles of food and nutrition, or counsel individuals.",0.4,0.1,0.65
13699,47-5081.00,47,Helpers--Extraction Workers,Core,4.28,Observe and monitor equipment operation during the extraction process to detect any problems.,"Help extraction craft workers, such as earth drillers, blasters and explosives workers, derrick operators, and mining machine operators, by performing duties requiring less skill. Duties include supplying equipment or cleaning work area.",0.45,0.25,0.55
6272,25-1121.00,25,"Art, Drama, and Music Teachers, Postsecondary",Supplemental,4.03,"Supervise undergraduate or graduate teaching, internship, and research work.","Teach courses in drama, music, and the arts including fine and applied art, such as painting and sculpture, or design and crafts. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",0.65,0.2,0.85
13749,49-3041.00,49,Farm Equipment Mechanics and Service Technicians,Core,4.64,"Reassemble machines and equipment following repair, testing operation and making adjustments, as necessary.","Diagnose, adjust, repair, or overhaul farm machinery and vehicles, such as tractors, harvesters, dairy equipment, and irrigation systems.",0.2,0.05,0.25
19435,51-5112.00,51,Printing Press Operators,Core,4.04,Maintain time or production records.,"Set up and operate digital, letterpress, lithographic, flexographic, gravure, or other printing machines. Includes short-run offset printing presses.",0.2,0.1,0.2
12368,51-9012.00,51,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",Core,3.91,Communicate processing instructions to other workers.,"Set up, operate, or tend continuous flow or vat-type equipment; filter presses; shaker screens; centrifuges; condenser tubes; precipitating, fermenting, or evaporating tanks; scrubbing towers; or batch stills. These machines extract, sort, or separate liquids, gases, or solids from other materials to recover a refined product. Includes dairy processing equipment operators.",0.4,0.15,0.6
23552,49-9021.00,49,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",Core,4.61,"Test electrical circuits or components for continuity, using electrical test equipment.","Install or repair heating, central air conditioning, HVAC, or refrigeration systems, including oil burners, hot-air furnaces, and heating stoves.",0.45,0.25,0.55
19363,31-1132.00,31,Orderlies,Supplemental,3.81,"Stock utility rooms, nonmedical storage rooms, or cleaning carts with supplies.","Transport patients to areas such as operating rooms or x-ray rooms using wheelchairs, stretchers, or moveable beds. May maintain stocks of supplies or clean and transport equipment. Psychiatric orderlies are included in Psychiatric Aides.",0.45,0.25,0.55
384,29-1123.00,29,Physical Therapists,Core,3.24,Participate in community or community agency activities or help to formulate public policy.,"Assess, plan, organize, and participate in rehabilitative programs that improve mobility, relieve pain, increase strength, and improve or correct disabling conditions resulting from disease or injury.",0.45,0.25,0.55
18992,15-1231.00,15,Computer Network Support Specialists,Core,4.04,Configure wide area network (WAN) or local area network (LAN) routers or related equipment.,"Analyze, test, troubleshoot, and evaluate existing network systems, such as local area networks (LAN), wide area networks (WAN), cloud networks, servers, and other data communications networks. Perform network maintenance to ensure networks operate correctly with minimal interruption.",0.45,0.25,0.55
17277,29-1229.06,29,Sports Medicine Physicians,Core,3.77,Develop and test procedures for dealing with emergencies during practices or competitions.,"Diagnose, treat, and help prevent injuries that occur during sporting events, athletic training, and physical activities.",0.45,0.2,0.6
23426,45-3031.00,45,Fishing and Hunting Workers,Core,3.4,"Load and unload vessel equipment and supplies, by hand or using hoisting equipment.","Hunt, trap, catch, or gather wild animals or aquatic animals and plants. May use nets, traps, or other equipment. May haul catch onto ship or other vessel.",0.2,0.1,0.2
1646,25-4012.00,25,Curators,Core,3.81,Inspect premises to assess the need for repairs and to ensure that climate and pest control issues are addressed.,"Administer collections, such as artwork, collectibles, historic items, or scientific specimens of museums or other institutions. May conduct instructional, research, or public service activities of institution.",0.45,0.25,0.55
14324,51-8093.00,51,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",Supplemental,3.27,Prepare calculations for receipts and deliveries of oil and oil products.,"Operate or control petroleum refining or processing units. May specialize in controlling manifold and pumping systems, gauging or testing oil in storage tanks, or regulating the flow of oil into pipelines.",0.8,0.6,0.8
12469,51-9041.00,51,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",Supplemental,3.23,"Install, align, and adjust neck rings, press plungers, and feeder tubes.","Set up, operate, or tend machines, such as glass-forming machines, plodder machines, and tuber machines, to shape and form products such as glassware, food, rubber, soap, brick, tile, clay, wax, tobacco, or cosmetics.",0.2,0.1,0.2
13796,49-9031.00,49,Home Appliance Repairers,Core,4.33,"Provide repair cost estimates, and recommend whether appliance repair or replacement is a better choice.","Repair, adjust, or install all types of electric or gas household appliances, such as refrigerators, washers, dryers, and ovens.",0.2,0.1,0.2
1284,15-1232.00,15,Computer User Support Specialists,Core,3.77,"Install and perform minor repairs to hardware, software, or peripheral equipment, following design or installation specifications.","Provide technical assistance to computer users. Answer questions or resolve computer problems for clients in person, via telephone, or electronically. May provide assistance concerning the use of computer hardware and software, including printing, installation, word processing, electronic mail, and operating systems.",0.5,0.2,0.6
11563,47-2221.00,47,Structural Iron and Steel Workers,Supplemental,3.22,Hold rivets while riveters use air hammers to form heads on rivets.,"Raise, place, and unite iron or steel girders, columns, and other structural members to form completed structures or structural frameworks. May erect metal storage tanks and assemble prefabricated metal buildings.",0.5,0.3,0.55
5089,39-2021.00,39,Animal Caretakers,Supplemental,3.87,"Transfer animals between enclosures to facilitate breeding, birthing, shipping, or rearrangement of exhibits.","Feed, water, groom, bathe, exercise, or otherwise provide care to promote and maintain the well-being of pets and other animals that are not raised for consumption, such as dogs, cats, race horses, ornamental fish or birds, zoo animals, and mice. Work in settings such as kennels, animal shelters, zoos, circuses, and aquariums. May keep records of feedings, treatments, and animals received or discharged. May clean, disinfect, and repair cages, pens, or fish tanks.",0.45,0.25,0.55
15643,11-9199.02,11,Compliance Managers,Supplemental,3.56,Review communications such as securities sales advertising to ensure there are no violations of standards or regulations.,"Plan, direct, or coordinate activities of an organization to ensure compliance with ethical or regulatory standards.",0.8,0.55,0.85
20340,11-9021.00,11,Construction Managers,Core,4.35,Direct and supervise construction or related workers.,"Plan, direct, or coordinate, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems. Participate in the conceptual development of a construction project and oversee its organization, scheduling, budgeting, and implementation. Includes managers in specialized construction fields, such as carpentry or plumbing.",0.4,0.1,0.7
11549,47-2221.00,47,Structural Iron and Steel Workers,Supplemental,3.8,"Ride on girders or other structural steel members to position them, or use rope to guide them into position.","Raise, place, and unite iron or steel girders, columns, and other structural members to form completed structures or structural frameworks. May erect metal storage tanks and assemble prefabricated metal buildings.",0.45,0.25,0.55
18575,43-6011.00,43,Executive Secretaries and Executive Administrative Assistants,Core,3.9,"Prepare agendas and make arrangements, such as coordinating catering for luncheons, for committee, board, and other meetings.","Provide high-level administrative support by conducting research, preparing statistical reports, and handling information requests, as well as performing routine administrative functions such as preparing correspondence, receiving visitors, arranging conference calls, and scheduling meetings. May also train and supervise lower-level clerical staff.",0.8,0.6,0.8
19560,47-4011.01,47,Energy Auditors,Core,4.2,Examine commercial sites to determine the feasibility of installing equipment that allows building management systems to reduce electricity consumption during peak demand periods.,"Conduct energy audits of buildings, building systems, or process systems. May also conduct investment grade audits of buildings or systems.",0.45,0.25,0.55
4085,29-1124.00,29,Radiation Therapists,Core,4.89,"Administer prescribed doses of radiation to specific body parts, using radiation therapy equipment according to established practices and standards.","Provide radiation therapy to patients as prescribed by a radiation oncologist according to established practices and standards. Duties may include reviewing prescription and diagnosis; acting as liaison with physician and supportive care personnel; preparing equipment, such as immobilization, treatment, and protection devices; and maintaining records, reports, and files. May assist in dosimetry procedures and tumor localization.",0.2,0.05,0.25
11472,47-2061.00,47,Construction Laborers,Core,4.34,"Tend pumps, compressors, or generators to provide power for tools, machinery, or equipment or to heat or move materials, such as asphalt.","Perform tasks involving physical labor at construction sites. May operate hand and power tools of all types: air hammers, earth tampers, cement mixers, small mechanical hoists, surveying and measuring equipment, and a variety of other equipment and instruments. May clean and prepare sites, dig trenches, set braces to support the sides of excavations, erect scaffolding, and clean up rubble, debris, and other waste materials. May assist other craft workers.",0.2,0.1,0.2
5997,25-1063.00,25,"Economics Teachers, Postsecondary",Core,3.16,"Serve on academic or administrative committees that deal with institutional policies, departmental matters, and academic issues.",Teach courses in economics. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,0.45,0.25,0.55
13879,49-9095.00,49,Manufactured Building and Mobile Home Installers,Core,4.36,Move and set up mobile homes or prefabricated buildings on owners' lots or at mobile home parks.,Move or install mobile homes or prefabricated buildings.,0.2,0.1,0.2
16268,15-2051.02,15,Clinical Data Managers,Core,4,Prepare appropriate formatting to data sets as requested.,"Apply knowledge of health care and database management to analyze clinical data, and to identify and report trends.",0.8,0.6,0.8
15623,11-9121.02,11,Water Resource Specialists,Core,3.52,Provide technical expertise to assist communities in the development or implementation of storm water monitoring or other water programs.,"Design or implement programs and strategies related to water resource issues such as supply, quality, and regulatory compliance issues.",0.65,0.25,0.8
22644,27-3023.00,27,"News Analysts, Reporters, and Journalists",Core,3.71,Photograph or videotape news events.,"Narrate or write news stories, reviews, or commentary for print, broadcast, or other communications media such as newspapers, magazines, radio, or television. May collect and analyze information through interview, investigation, or observation.",0.45,0.2,0.6
20596,39-3012.00,39,Gambling and Sports Book Writers and Runners,Core,4.33,"Compute and verify amounts won or lost, paying out winnings or referring patrons to workers, such as gaming cashiers, so that winnings can be collected.","Post information enabling patrons to wager on various races and sporting events. Assist in the operation of games such as keno and bingo. May operate random number-generating equipment and announce the numbers for patrons. Receive, verify, and record patrons' wagers. Scan and process winning tickets presented by patrons and pay out winnings for those wagers.",0.7,0.35,0.8
18431,29-1299.02,29,Orthoptists,Core,4.7,Interpret clinical or diagnostic test results.,Diagnose and treat visual system disorders such as binocular vision and eye movement impairments.,0.8,0.55,0.85
2388,39-9032.00,39,Recreation Workers,Core,4.09,Complete and maintain time and attendance forms and inventory lists.,"Conduct recreation activities with groups in public, private, or volunteer agencies or recreation facilities. Organize and promote activities, such as arts and crafts, sports, games, music, dramatics, social recreation, camping, and hobbies, taking into account the needs and interests of individual members.",0.55,0.3,0.6
8428,49-9051.00,49,Electrical Power-Line Installers and Repairers,Core,3.85,Trim trees that could be hazardous to the functioning of cables or wires.,Install or repair cables or wires used in electrical power or distribution systems. May erect poles and light or heavy duty transmission towers.,0.2,0.1,0.2
19376,31-9097.00,31,Phlebotomists,Core,4.41,Document route of specimens from collection to laboratory analysis and diagnosis.,"Draw blood for tests, transfusions, donations, or research. May explain the procedure to patients and assist in the recovery of patients with adverse reactions.",0.8,0.6,0.8
5982,25-1062.00,25,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Core,3.68,"Perform administrative duties, such as serving as department head.","Teach courses pertaining to the culture and development of an area, an ethnic group, or any other group, such as Latin American studies, women's studies, or urban affairs. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",0.45,0.25,0.55
8416,49-9051.00,49,Electrical Power-Line Installers and Repairers,Core,4.51,"Install, maintain, and repair electrical distribution and transmission systems, including conduits, cables, wires, and related equipment, such as transformers, circuit breakers, and switches.",Install or repair cables or wires used in electrical power or distribution systems. May erect poles and light or heavy duty transmission towers.,0.2,0.1,0.2
11685,49-2022.00,49,"Telecommunications Equipment Installers and Repairers, Except Line Installers",Supplemental,3.22,"Install telephone station equipment, such as intercommunication systems, transmitters, receivers, relays, and ringers, and related apparatus, such as coin collectors, telephone booths, and switching-key equipment.","Install, set up, rearrange, or remove switching, distribution, routing, and dialing equipment used in central offices or headends. Service or repair telephone, cable television, Internet, and other communications equipment on customers' property. May install communications equipment or communications wiring in buildings.",0.2,0.1,0.2
17479,29-9099.01,29,Midwives,Core,4.69,Identify tubal and ectopic pregnancies and refer patients for treatments.,Provide prenatal care and childbirth assistance.,0.45,0.25,0.55
10972,25-9044.00,25,"Teaching Assistants, Postsecondary",Supplemental,3.12,Provide instructors with assistance in the use of audiovisual equipment.,"Assist faculty or other instructional staff in postsecondary institutions by performing instructional support activities, such as developing teaching materials, leading discussion groups, preparing and giving examinations, and grading examinations or papers.",0.45,0.25,0.55
1139,11-9151.00,11,Social and Community Service Managers,Core,3.73,"Act as consultants to agency staff and other community programs regarding the interpretation of program-related federal, state, and county regulations and policies.","Plan, direct, or coordinate the activities of a social service program or community outreach organization. Oversee the program or organization's budget and policies regarding participant involvement, program requirements, and benefits. Work may involve directing social workers, counselors, or probation officers.",0.8,0.6,0.8
1840,29-1141.00,29,Registered Nurses,Core,4.61,"Monitor, record, and report symptoms or changes in patients' conditions.","Assess patient health problems and needs, develop and implement nursing care plans, and maintain medical records. Administer nursing care to ill, injured, convalescent, or disabled patients. May advise patients on health maintenance and disease prevention or provide case management. Licensing or registration required.",0.85,0.55,0.85
8960,15-2041.00,15,Statisticians,Core,3.81,"Plan data collection methods for specific projects, and determine the types and sizes of sample groups to be used.","Develop or apply mathematical or statistical theory and methods to collect, organize, interpret, and summarize numerical data to provide usable information. May specialize in fields such as biostatistics, agricultural statistics, business statistics, or economic statistics. Includes mathematical and survey statisticians.",0.8,0.6,0.8
20105,25-1126.00,25,"Philosophy and Religion Teachers, Postsecondary",Core,4.13,Write articles and books.,"Teach courses in philosophy, religion, and theology. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",0.8,0.6,0.85
6334,25-1124.00,25,"Foreign Language and Literature Teachers, Postsecondary",Core,4.62,"Evaluate and grade students' class work, assignments, and papers.",Teach languages and literature courses in languages other than English. Includes teachers of American Sign Language (ASL). Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,0.8,0.6,0.8
7649,27-2011.00,27,Actors,Core,4.73,"Portray and interpret roles, using speech, gestures, and body movements, to entertain, inform, or instruct radio, film, television, or live audiences.","Play parts in stage, television, radio, video, or film productions, or other settings for entertainment, information, or instruction. Interpret serious or comic role by speech, gesture, and body movement to entertain or inform audience. May dance and sing.",0.8,0.6,0.8
9624,39-3092.00,39,Costume Attendants,Core,3.01,Inventory stock to determine types or conditions of available costuming.,"Select, fit, and take care of costumes for cast members, and aid entertainers. May assist with multiple costume changes during performances.",0.85,0.65,0.8
1,11-2022.00,11,Sales Managers,Core,4.35,Resolve customer complaints regarding sales and service.,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.",0.4,0.15,0.6
9229,21-1091.00,21,Health Education Specialists,Core,3.84,"Develop, conduct, or coordinate health needs assessments and other public health surveys.","Provide and manage health education programs that help individuals, families, and their communities maximize and maintain healthy lifestyles. Use data to identify community needs prior to planning, implementing, monitoring, and evaluating programs designed to encourage healthy lifestyles, policies, and environments. May link health systems, health providers, insurers, and patients to address individual and population health needs. May serve as resource to assist individuals, other health professionals, or the community, and may administer fiscal resources for health education programs.",0.45,0.25,0.55
3280,11-3111.00,11,Compensation and Benefits Managers,Supplemental,3.73,Negotiate bargaining agreements.,"Plan, direct, or coordinate compensation and benefits activities of an organization.",0.4,0.15,0.6
9332,27-3091.00,27,Interpreters and Translators,Core,4.41,"Refer to reference materials, such as dictionaries, lexicons, encyclopedias, and computerized terminology banks, as needed to ensure translation accuracy.","Interpret oral or sign language, or translate written text from one language into another.",0.45,0.25,0.55
4043,27-4031.00,27,"Camera Operators, Television, Video, and Film",Supplemental,3.98,"Set up cameras, optical printers, and related equipment to produce photographs and special effects.","Operate television, video, or film camera to record images or scenes for television, video, or film productions.",0.45,0.25,0.55
7680,27-2012.03,27,Media Programming Directors,Core,4.42,Operate and maintain on-air and production audio equipment.,"Direct and coordinate activities of personnel engaged in preparation of radio or television station program schedules and programs, such as sports or news.",0.2,0.1,0.2
8659,27-3092.00,27,Court Reporters and Simultaneous Captioners,Core,4.74,File and store shorthand notes of court session.,"Use verbatim methods and equipment to capture, store, retrieve, and transcribe pretrial and trial proceedings or other information. Includes stenocaptioners who operate computerized stenographic captioning equipment to provide captions of live or prerecorded broadcasts for hearing-impaired viewers.",0.5,0.3,0.55
